Table Name,Description,Label,Action,Property Key,Property Value
sysECPChangeScopeTable,变更范围(批量变更建议),basic.common.table.sysECPChangeScopeTable,,frozenRight|process|sizeChanger|pageSizeOptions,1|singleSaveECIAction|true|10;20;50;100;500
sysChangeSuggestionTable,变更建议,basic.common.table.sysChangeSuggestionTable,,frozen|frozenRight|total|wrap|isOnlyRead|canExpand|canLocation,1|1|false|true|false|false|false
sysPropertyChangeTable,属性变更,basic.common.table.sysPropertyChangeTable,,canSet|canExport,false|false
sysBOMChangeTable,BOM变更,ecm.title.bomChange,,,
sysRelateChangeTable,关联关系变更,ecm.title.relatedChange,,,
sysECOOtherTable,其他,basic.common.table.sysECOOtherTable,,frozenRight|pagination|sizeChanger,1|true|true
sysSelectLocationTable,选择位置,basic.common.table.sysSelectLocationTable,,canExport|frozen,false|2
sysIntegrateTable,集成table,basic.common.table.sysInstanceReferencedTable,,frozenRight|pagination|sizeChanger|select|frozen|canExport,1|true|true|multi|2|true
sysIntegrateParentTable,集成父table,basic.common.table.sysInstanceReferencedTable,,frozenRight|pagination|sizeChanger|select|frozen|clickAndSelected|afterQueryData|title,1|true|true|multi|2|true|true|queue.title.parentQueue
sysIntegrateChildTable,集成子table,basic.common.table.sysInstanceReferencedTable,,frozenRight|pagination|sizeChanger|select|frozen|title,1|true|true|multi|2|queue.title.childQueue
sysReportTable,报表table,basic.common.table.sysInstanceReferencedTable,,frozenRight|total|bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|draggable|select|frozen,1|true|true|true|true|true|false|true|true|true|true|true|false|multi|2
sysFileTransTable,文件转换table,basic.common.table.sysInstanceReferencedTable,,frozenRight|total|bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|draggable|select|frozen,1|true|true|true|true|true|false|true|true|true|true|true|false|multi|2
sysWizardFileTable,文件,basic.common.table.sysWizardFileTable,,select|total|pagination|frozenRight,multi|false|false|1
sysEcImpactAnalysisTable,影响分析,basic.common.table.sysEcImpactAnalysisTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|isRowCheckable,multi|2|1|true|middle|true|220px|250px|12|24|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysReplaceProgrammeTable,替代方案表格,common.command.sysReplaceProgrammeTable,,frozen|frozenRight|canExport,2|1|true
sysMainItemTable,主物料,basic.common.table.sysMainItemTable,,select|frozen|frozenRight|canExport,multi|2|2|true
sysSubItemTable,替代物料,basic.common.table.sysSubItemTable,,select|frozen|frozenRight|canExport|showIcon|groupField|showField|showValue|showIndex|pagination,multi|1|1|true|true|PRIORITY|ISKEYITEM|Y|false|false
sysNewUsedBOMTable,被用在BOM表格,basic.common.table.sysNewUsedBOMTable,,frozenRight|frozen,1|2
sysMainItemAddTable,新增主物料(打开),basic.common.table.sysMainItemAddTable,,frozenRight|frozen,1|2
sysReferenceMainItemTable,参考主物料表格,basic.common.table.sysReferenceMainItemTable,,frozen,2
sysReplaceItemAddTable,新增替代物料(打开),basic.common.table.sysReplaceItemAddTable,,,
sysReferenceReplaceItemTable,参考替代物料表格,basic.common.table.sysReferenceReplaceItemTable,,frozen,2
sysUsedBOMAddTable,新增被用在BOM表格,basic.common.table.sysUsedBOMAddTable,,,
sysBOMMainItemTable,BOM主物料,basic.common.table.sysMainItemTable,,select|frozen|canExport,multi|2|true
sysBOMSubItemTable,BOM替代物料,basic.common.table.sysSubItemTable,,select|frozen|canExport|showIcon|groupField|showField|showValue|showIndex|pagination,multi|3|true|true|PRIORITY|ISKEYITEM|Y|false|false
sysBOMWithItemTable,BOM取代物料,,,select|frozen|canExport|showIcon|showIndex|pagination,multi|3|true|true|false|false
ProcessTaskDistributionTable,料件选择,料件选择,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|size|canExport|canSet|select|size|wrap|frozenRight|frozen|select|isRowCheckable|initQuery,true|true|true|true|false|true|true|true|true|small|true|true|multi|middle|true|1|2|single|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysDesignListTable,设计清单,basic.common.table.sysDesignListTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysProcessFlowConstituteTable,工艺流程组成,basic.common.table.sysProcessFlowConstituteTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysProcessFlowConstituteAddTable,工艺流程组成添加弹窗table,basic.common.table.sysProcessFlowConstituteAddTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols,multi|2|1|true|middle|true|220px|250px|12|24
sysVitemRelatedjtgxlcTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysITEM-CAD3D$ITEM-CAD2D$ITEM-ECAD$Table,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysRelatedDocTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysCONVERTRELATIONTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysCAD3D-CAD2D$Table,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysMODEL-MEMBERTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysMODEL-REFERENCETable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|sizeChanger|size|canExport,multi|2|true|middle|true
sysITEM-CAD2D$Table,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|sizeChanger|size|canExport,multi|2|true|middle|true
sysITEM-CAD3D$Table,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|sizeChanger|size|canExport,multi|2|true|middle|true
sysITEM-ECAD$Table,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|sizeChanger|size|canExport,multi|2|true|middle|true
sysApproveItemTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|sizeChanger|size|canExport,multi|2|true|middle|true
sysFabricationOutlineProcessFlowConstituteTable,制造大纲工艺流程组成,basic.common.table.sysFabricationOutlineProcessFlowConstituteTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|draggable|dragProcess,multi|2|1|true|middle|true|220px|250px|12|24|true|sysFabricationOutlineDragAction
sysFabricationOutlineProcessFlowConstituteAddTable,制造大纲工艺流程组成添加弹窗table,basic.common.table.sysFabricationOutlineProcessFlowConstituteAddTable,,select|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|isRowCheckable,multi|true|middle|true|220px|250px|12|24|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysAssemblyOutlineProcessFlowConstituteTable,装配大纲工艺流程组成,basic.common.table.sysAssemblyOutlineProcessFlowConstituteTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canExport|draggable|dragProcess,multi|2|1|true|middle|true|220px|250px|12|24|false|true|sysAssemblyOutlineDragAction
