Toolbar Name,Description,Label,Children,Property Key,Property Value
sysSecondaryItemTableFloatToolbar,辅料,,sysProcessBatchDeleteCommand
toolbarTest,toolbar测试专用,,toolbarTestCommand1|toolbarTestCommand2|toolbarTestCommand3|toolbarTestMore|toolbarRadioTestCommand|toolbarTestConfirmCommand,,
toolbarRadioTest,toolbar测试专用,,toolbarRadioTestCommand|toolbarCheckBoxTestCommand,,
toolbarSegmentTest,toolbar测试专用,,toolbarSegmentTestCommand,,
toolbarCheckBoxTest,toolbar测试专用,,toolbarCheckBoxTestCommand|toolbarCheckBoxTestShowCommand|toolbarIconCheckBoxShowCommand,,
toolbarTestMore,toolbar测试专用,toolbar测试专用,toolbarTestCommand4,,
toolbarTestCombo,toolbar测试专用,toolbar测试专用,toolbarTestCommand5,,
toolbarTestStatus,toolbar测试专用,toolbar测试专用,toolbarTestStatusCommand,,
toolbarTestLinkDelUrl,toolbar测试专用,toolbar测试专用,sysCodeItemDeleteTestCommand,,
toolbarGeneralStatus,toolbar测试专用,toolbar测试专用,toolbarTestSpanColorCommand,,
sysProcessTaskDistributionTableSearchToolbar,搜索,,sysProcessTaskDistributionSearchCommand,nzIcon,search
sysQueueToolbar,队列,,sysQueueRefreshCommand
sysProjectTemplateManageToolbar,,,sysProjectTemplateManagementNewCommand|sysProjectTemplateManagementSearchCommand
